date,game_pk,umpire_id,umpire_name
2026-04-20,824776,504381,Will Little
2026-04-21,822747,427113,Laz Diaz
2026-04-21,822914,483919,Mark Ripperger
2026-04-21,822995,503586,Tripp Gibson
2026-04-21,823148,623946,Malachi Moore
2026-04-21,823236,608093,Junior Valentine
2026-04-21,823640,596809,Ryan Additon
2026-04-21,823880,484499,Manny Gonzalez
2026-04-21,824045,431232,Chad Fairchild
2026-04-21,824127,665576,Brock Ballou
2026-04-21,824290,621660,Emil Jimenez
2026-04-21,824369,623945,Alex MacKay
2026-04-21,824448,658292,Derek Thomas
2026-04-21,824690,483569,Vic Carapazza
2026-04-21,824773,658536,Austin Jones
2026-04-21,825099,427139,Doug Eddings
2026-04-22,822748,427366,Brian O'Nora
2026-04-22,822913,575629,Shane Livensparger
2026-04-22,822993,503502,Ryan Blakney
2026-04-22,823147,427315,Alfonso Márquez
2026-04-22,823231,490319,Jordan Baker
2026-04-22,823641,605674,Ryan Wills
2026-04-22,823878,658082,Jacob Metz
2026-04-22,824044,489985,Chad Whitson
2026-04-22,824123,482641,Adrian Johnson
2026-04-22,824286,483912,Mike Muchlinski
2026-04-22,824367,484198,Alan Porter
2026-04-22,824449,605673,Alex Tosi
2026-04-22,824688,545402,John Bacon
2026-04-22,824774,429805,Todd Tichenor
2026-04-22,825097,605672,Jeremie Rehak
2026-04-23,822745,503490,Chris Segal
2026-04-23,822912,605670,Dan Merzel
2026-04-23,823233,427128,Rob Drake
2026-04-23,823639,427013,Lance Barksdale
2026-04-23,824288,573597,Gabe Morales
2026-04-23,824368,577468,Roberto Ortiz
2026-04-23,824689,427537,Hunter Wendelstedt
2026-04-23,824770,596805,John Libka
2026-04-23,825096,484183,Cory Blaser
2026-04-24,822827,607884,Paul Clemons
2026-04-24,822909,623949,Clint Vondrak
2026-04-24,822992,427344,Bill Miller
2026-04-24,823069,554242,Edwin Moscoso
2026-04-24,823232,483564,Dan Bellino
2026-04-24,823638,521051,Nick Mahrley
2026-04-24,823800,665297,Tom Hanahan
2026-04-24,823962,691042,Willie Traynor
2026-04-24,824124,427554,Jim Wolf
2026-04-24,824204,644760,Adam Beck
2026-04-24,824529,623938,Erich Bacchus
2026-04-24,824611,504381,Will Little
2026-04-24,824854,596740,Jansen Visconti
2026-04-24,824932,665298,Dexter Kelley
2026-04-25,822826,511890,Quinn Wolcott
2026-04-25,822910,658536,Austin Jones
2026-04-25,822989,665281,Brian Walsh
2026-04-25,823070,483569,Vic Carapazza
2026-04-25,823229,483919,Mark Ripperger
2026-04-25,823799,482608,Scott Barry
2026-04-25,823960,482631,Mike Estabrook
2026-04-25,824121,658292,Derek Thomas
2026-04-25,824203,427248,Dan Iassogna
2026-04-25,824527,427113,Laz Diaz
2026-04-25,824613,596809,Ryan Additon
2026-04-25,824851,427164,Andy Fletcher
2026-04-25,824933,621660,Emil Jimenez
2026-04-25,825093,521889,Stu Scheurwater
2026-04-26,822824,594151,Ramon De Jesus
2026-04-26,822911,429805,Todd Tichenor
2026-04-26,822991,431232,Chad Fairchild
